Barcode,Sample
Kinnex16S_Fwd_12--Kinnex16S_Rev_22,PA1658
Kinnex16S_Fwd_12--Kinnex16S_Rev_21,PA1673
Kinnex16S_Fwd_01--Kinnex16S_Rev_36,PA1675
Kinnex16S_Fwd_01--Kinnex16S_Rev_35,PA1680
Kinnex16S_Fwd_01--Kinnex16S_Rev_34,PA1691
Kinnex16S_Fwd_01--Kinnex16S_Rev_33,PA1699
Kinnex16S_Fwd_01--Kinnex16S_Rev_32,PA1707
Kinnex16S_Fwd_01--Kinnex16S_Rev_31,PA1712
Kinnex16S_Fwd_01--Kinnex16S_Rev_30,PA1735
Kinnex16S_Fwd_01--Kinnex16S_Rev_29,PA1742
Kinnex16S_Fwd_02--Kinnex16S_Rev_36,PA1756
Kinnex16S_Fwd_02--Kinnex16S_Rev_35,PA1762
Kinnex16S_Fwd_02--Kinnex16S_Rev_34,PA1766
Kinnex16S_Fwd_02--Kinnex16S_Rev_33,PA1771
Kinnex16S_Fwd_02--Kinnex16S_Rev_32,PA1775
Kinnex16S_Fwd_02--Kinnex16S_Rev_31,PA1783
Kinnex16S_Fwd_02--Kinnex16S_Rev_30,PA1787
Kinnex16S_Fwd_02--Kinnex16S_Rev_29,PA1791
Kinnex16S_Fwd_03--Kinnex16S_Rev_36,PA1793
Kinnex16S_Fwd_03--Kinnex16S_Rev_35,PA1809
Kinnex16S_Fwd_03--Kinnex16S_Rev_34,PA1810
Kinnex16S_Fwd_03--Kinnex16S_Rev_33,PA1815
Kinnex16S_Fwd_03--Kinnex16S_Rev_32,PA1816
Kinnex16S_Fwd_03--Kinnex16S_Rev_31,PA1836
Kinnex16S_Fwd_03--Kinnex16S_Rev_30,PA1841
Kinnex16S_Fwd_03--Kinnex16S_Rev_29,PA1858
Kinnex16S_Fwd_04--Kinnex16S_Rev_36,PA1868
Kinnex16S_Fwd_04--Kinnex16S_Rev_35,PA1874
Kinnex16S_Fwd_04--Kinnex16S_Rev_34,PA1875
Kinnex16S_Fwd_04--Kinnex16S_Rev_33,PA1887
Kinnex16S_Fwd_04--Kinnex16S_Rev_32,PA1888
Kinnex16S_Fwd_04--Kinnex16S_Rev_31,PA1896
Kinnex16S_Fwd_04--Kinnex16S_Rev_30,PA1930
Kinnex16S_Fwd_04--Kinnex16S_Rev_29,PA1952
Kinnex16S_Fwd_05--Kinnex16S_Rev_36,PA1954
Kinnex16S_Fwd_05--Kinnex16S_Rev_35,PA1955
Kinnex16S_Fwd_05--Kinnex16S_Rev_34,PA1957
Kinnex16S_Fwd_05--Kinnex16S_Rev_33,PA1963
Kinnex16S_Fwd_05--Kinnex16S_Rev_32,PA1970
Kinnex16S_Fwd_05--Kinnex16S_Rev_31,PA1976
Kinnex16S_Fwd_05--Kinnex16S_Rev_30,PA1982
Kinnex16S_Fwd_05--Kinnex16S_Rev_29,PA1988
Kinnex16S_Fwd_06--Kinnex16S_Rev_36,PA2002
Kinnex16S_Fwd_06--Kinnex16S_Rev_35,PA2006
Kinnex16S_Fwd_06--Kinnex16S_Rev_34,PA2011
Kinnex16S_Fwd_06--Kinnex16S_Rev_33,PA2031
Kinnex16S_Fwd_06--Kinnex16S_Rev_32,PA2032
Kinnex16S_Fwd_06--Kinnex16S_Rev_31,PA2036
Kinnex16S_Fwd_06--Kinnex16S_Rev_30,PA2039
Kinnex16S_Fwd_06--Kinnex16S_Rev_29,PA2040
Kinnex16S_Fwd_07--Kinnex16S_Rev_36,PA2059
Kinnex16S_Fwd_07--Kinnex16S_Rev_35,PA2064
Kinnex16S_Fwd_07--Kinnex16S_Rev_34,PA2074
Kinnex16S_Fwd_07--Kinnex16S_Rev_33,PA2091
Kinnex16S_Fwd_07--Kinnex16S_Rev_32,PA2113
Kinnex16S_Fwd_07--Kinnex16S_Rev_31,PA2124
Kinnex16S_Fwd_07--Kinnex16S_Rev_30,PA2127
Kinnex16S_Fwd_07--Kinnex16S_Rev_29,PA2139
Kinnex16S_Fwd_08--Kinnex16S_Rev_36,PA2151
Kinnex16S_Fwd_08--Kinnex16S_Rev_35,PA2168
Kinnex16S_Fwd_08--Kinnex16S_Rev_34,PA2179
Kinnex16S_Fwd_08--Kinnex16S_Rev_33,PA2181
Kinnex16S_Fwd_08--Kinnex16S_Rev_32,PA2182
Kinnex16S_Fwd_08--Kinnex16S_Rev_31,PA2186
Kinnex16S_Fwd_08--Kinnex16S_Rev_30,PA2202
Kinnex16S_Fwd_08--Kinnex16S_Rev_29,PA2210
Kinnex16S_Fwd_09--Kinnex16S_Rev_36,PA2233
Kinnex16S_Fwd_09--Kinnex16S_Rev_35,PA2236
Kinnex16S_Fwd_09--Kinnex16S_Rev_34,PA2266
Kinnex16S_Fwd_09--Kinnex16S_Rev_33,PA2267
Kinnex16S_Fwd_09--Kinnex16S_Rev_32,PA2270
Kinnex16S_Fwd_09--Kinnex16S_Rev_31,PA3000
Kinnex16S_Fwd_09--Kinnex16S_Rev_30,PA3010
Kinnex16S_Fwd_09--Kinnex16S_Rev_29,PA3027
Kinnex16S_Fwd_10--Kinnex16S_Rev_36,PA3034
Kinnex16S_Fwd_10--Kinnex16S_Rev_35,PA3042
Kinnex16S_Fwd_10--Kinnex16S_Rev_34,PA3047
Kinnex16S_Fwd_10--Kinnex16S_Rev_33,PA3057
Kinnex16S_Fwd_10--Kinnex16S_Rev_32,PA3059
Kinnex16S_Fwd_10--Kinnex16S_Rev_31,PA3060
Kinnex16S_Fwd_10--Kinnex16S_Rev_30,PA3072
Kinnex16S_Fwd_10--Kinnex16S_Rev_29,PA3075
Kinnex16S_Fwd_11--Kinnex16S_Rev_36,PA3083
Kinnex16S_Fwd_11--Kinnex16S_Rev_35,PA3102
Kinnex16S_Fwd_11--Kinnex16S_Rev_34,PA3103
Kinnex16S_Fwd_11--Kinnex16S_Rev_33,PA3121
Kinnex16S_Fwd_11--Kinnex16S_Rev_32,PA3122
Kinnex16S_Fwd_11--Kinnex16S_Rev_31,PA3124
Kinnex16S_Fwd_11--Kinnex16S_Rev_30,PA3125
Kinnex16S_Fwd_11--Kinnex16S_Rev_29,PA3126
Kinnex16S_Fwd_12--Kinnex16S_Rev_36,PA3134
Kinnex16S_Fwd_12--Kinnex16S_Rev_35,PA3142
Kinnex16S_Fwd_12--Kinnex16S_Rev_34,PA3144
Kinnex16S_Fwd_12--Kinnex16S_Rev_33,PA3148
